"siteid","sitename","itemid","itemname","itemengname","itemunit","monitormonth","concentration"
7,"新莊",1,"二氧化硫","SO2","ppb",202301,"0.8"
7,"新莊",2,"一氧化碳","CO","ppm",202301,"0.33"
7,"新莊",3,"臭氧","O3","ppb",202301,"31.6"
7,"新莊",4,"懸浮微粒","PM10","μg/m3",202301,"28"
7,"新莊",5,"氮氧化物","NOx","ppb",202301,"14.7"
7,"新莊",6,"一氧化氮","NO","ppb",202301,"2.5"
7,"新莊",7,"二氧化氮","NO2","ppb",202301,"12.1"
7,"新莊",10,"風速","WIND_SPEED","m/sec",202301,"3"
7,"新莊",14,"溫度","AMB_TEMP","℃",202301,"17.4"
7,"新莊",33,"細懸浮微粒","PM2.5","μg/m3",202301,"13"
7,"新莊",38,"相對濕度","RH","%",202301,"77"
8,"菜寮",1,"二氧化硫","SO2","ppb",202301,"1.1"
8,"菜寮",2,"一氧化碳","CO","ppm",202301,"0.4"
8,"菜寮",3,"臭氧","O3","ppb",202301,"31.1"
8,"菜寮",4,"懸浮微粒","PM10","μg/m3",202301,"24"
8,"菜寮",5,"氮氧化物","NOx","ppb",202301,"16.9"
8,"菜寮",6,"一氧化氮","NO","ppb",202301,"2.9"
8,"菜寮",7,"二氧化氮","NO2","ppb",202301,"13.9"
8,"菜寮",10,"風速","WIND_SPEED","m/sec",202301,"2.3"
8,"菜寮",14,"溫度","AMB_TEMP","℃",202301,"18"
8,"菜寮",33,"細懸浮微粒","PM2.5","μg/m3",202301,"15"
8,"菜寮",38,"相對濕度","RH","%",202301,"74"
9,"林口",1,"二氧化硫","SO2","ppb",202301,"1"
9,"林口",2,"一氧化碳","CO","ppm",202301,"0.28"
9,"林口",3,"臭氧","O3","ppb",202301,"34"
9,"林口",4,"懸浮微粒","PM10","μg/m3",202301,"24"
9,"林口",5,"氮氧化物","NOx","ppb",202301,"13"
9,"林口",6,"一氧化氮","NO","ppb",202301,"2.8"
9,"林口",7,"二氧化氮","NO2","ppb",202301,"10.1"
9,"林口",10,"風速","WIND_SPEED","m/sec",202301,"2.6"
9,"林口",14,"溫度","AMB_TEMP","℃",202301,"15.2"
9,"林口",33,"細懸浮微粒","PM2.5","μg/m3",202301,"12"
9,"林口",38,"相對濕度","RH","%",202301,"85"
10,"淡水",1,"二氧化硫","SO2","ppb",202301,"1"
10,"淡水",2,"一氧化碳","CO","ppm",202301,"0.28"
10,"淡水",3,"臭氧","O3","ppb",202301,"33.7"
10,"淡水",4,"懸浮微粒","PM10","μg/m3",202301,"22"
10,"淡水",5,"氮氧化物","NOx","ppb",202301,"8.7"
10,"淡水",6,"一氧化氮","NO","ppb",202301,"1.5"
10,"淡水",7,"二氧化氮","NO2","ppb",202301,"7.2"
10,"淡水",10,"風速","WIND_SPEED","m/sec",202301,"1.9"
10,"淡水",14,"溫度","AMB_TEMP","℃",202301,"16"
10,"淡水",33,"細懸浮微粒","PM2.5","μg/m3",202301,"12"
11,"士林",1,"二氧化硫","SO2","ppb",202301,"0.8"
11,"士林",2,"一氧化碳","CO","ppm",202301,"0.28"
11,"士林",3,"臭氧","O3","ppb",202301,"34.5"
11,"士林",4,"懸浮微粒","PM10","μg/m3",202301,"24"
11,"士林",5,"氮氧化物","NOx","ppb",202301,"11.5"
11,"士林",6,"一氧化氮","NO","ppb",202301,"1.8"
11,"士林",7,"二氧化氮","NO2","ppb",202301,"9.6"
11,"士林",10,"風速","WIND_SPEED","m/sec",202301,"1.5"
11,"士林",14,"溫度","AMB_TEMP","℃",202301,"17.6"
11,"士林",33,"細懸浮微粒","PM2.5","μg/m3",202301,"13"
11,"士林",38,"相對濕度","RH","%",202301,"75"
12,"中山",1,"二氧化硫","SO2","ppb",202301,"1"
12,"中山",2,"一氧化碳","CO","ppm",202301,"0.45"
12,"中山",3,"臭氧","O3","ppb",202301,"26.1"
12,"中山",4,"懸浮微粒","PM10","μg/m3",202301,"26"
12,"中山",5,"氮氧化物","NOx","ppb",202301,"22.9"
12,"中山",6,"一氧化氮","NO","ppb",202301,"5.1"
12,"中山",7,"二氧化氮","NO2","ppb",202301,"17.7"
12,"中山",10,"風速","WIND_SPEED","m/sec",202301,"1.8"
12,"中山",14,"溫度","AMB_TEMP","℃",202301,"17.6"
12,"中山",33,"細懸浮微粒","PM2.5","μg/m3",202301,"13"
12,"中山",38,"相對濕度","RH","%",202301,"80"
13,"萬華",1,"二氧化硫","SO2","ppb",202301,"1.4"
13,"萬華",2,"一氧化碳","CO","ppm",202301,"0.42"
13,"萬華",3,"臭氧","O3","ppb",202301,"27.6"
13,"萬華",4,"懸浮微粒","PM10","μg/m3",202301,"23"
13,"萬華",5,"氮氧化物","NOx","ppb",202301,"20.9"
13,"萬華",6,"一氧化氮","NO","ppb",202301,"3.3"
13,"萬華",7,"二氧化氮","NO2","ppb",202301,"17.5"
13,"萬華",10,"風速","WIND_SPEED","m/sec",202301,"1.9"
13,"萬華",14,"溫度","AMB_TEMP","℃",202301,"17.5"
13,"萬華",33,"細懸浮微粒","PM2.5","μg/m3",202301,"15"
13,"萬華",38,"相對濕度","RH","%",202301,"76"
14,"古亭",1,"二氧化硫","SO2","ppb",202301,"0.8"
14,"古亭",2,"一氧化碳","CO","ppm",202301,"0.32"
14,"古亭",3,"臭氧","O3","ppb",202301,"30.9"
14,"古亭",4,"懸浮微粒","PM10","μg/m3",202301,"23"
14,"古亭",5,"氮氧化物","NOx","ppb",202301,"14.1"
14,"古亭",6,"一氧化氮","NO","ppb",202301,"2.1"
14,"古亭",7,"二氧化氮","NO2","ppb",202301,"11.9"
14,"古亭",10,"風速","WIND_SPEED","m/sec",202301,"1.5"
14,"古亭",14,"溫度","AMB_TEMP","℃",202301,"17.3"
14,"古亭",33,"細懸浮微粒","PM2.5","μg/m3",202301,"14"
14,"古亭",38,"相對濕度","RH","%",202301,"75"
15,"松山",1,"二氧化硫","SO2","ppb",202301,"1.1"
15,"松山",2,"一氧化碳","CO","ppm",202301,"0.35"
15,"松山",3,"臭氧","O3","ppb",202301,"28"
15,"松山",4,"懸浮微粒","PM10","μg/m3",202301,"27"
15,"松山",5,"氮氧化物","NOx","ppb",202301,"19.7"
15,"松山",6,"一氧化氮","NO","ppb",202301,"4.3"
15,"松山",7,"二氧化氮","NO2","ppb",202301,"15.4"
15,"松山",10,"風速","WIND_SPEED","m/sec",202301,"1.4"
15,"松山",14,"溫度","AMB_TEMP","℃",202301,"16.8"
15,"松山",33,"細懸浮微粒","PM2.5","μg/m3",202301,"14"
15,"松山",38,"相對濕度","RH","%",202301,"78"
16,"大同",1,"二氧化硫","SO2","ppb",202301,"1.6"
16,"大同",2,"一氧化碳","CO","ppm",202301,"0.69"
16,"大同",3,"臭氧","O3","ppb",202301,"21"
16,"大同",4,"懸浮微粒","PM10","μg/m3",202301,"34"
16,"大同",5,"氮氧化物","NOx","ppb",202301,"40.7"
16,"大同",6,"一氧化氮","NO","ppb",202301,"17.7"
16,"大同",7,"二氧化氮","NO2","ppb",202301,"22.8"
16,"大同",10,"風速","WIND_SPEED","m/sec",202301,""
16,"大同",14,"溫度","AMB_TEMP","℃",202301,""
16,"大同",33,"細懸浮微粒","PM2.5","μg/m3",202301,"17"
16,"大同",38,"相對濕度","RH","%",202301,"71"
17,"桃園",1,"二氧化硫","SO2","ppb",202301,"1.3"
17,"桃園",2,"一氧化碳","CO","ppm",202301,"0.38"
17,"桃園",3,"臭氧","O3","ppb",202301,"30.9"
17,"桃園",4,"懸浮微粒","PM10","μg/m3",202301,"27"
17,"桃園",5,"氮氧化物","NOx","ppb",202301,"15.7"
17,"桃園",6,"一氧化氮","NO","ppb",202301,"2.7"
17,"桃園",7,"二氧化氮","NO2","ppb",202301,"12.9"
17,"桃園",10,"風速","WIND_SPEED","m/sec",202301,"2.1"
17,"桃園",14,"溫度","AMB_TEMP","℃",202301,"16.2"
17,"桃園",33,"細懸浮微粒","PM2.5","μg/m3",202301,"15"
17,"桃園",38,"相對濕度","RH","%",202301,"78"
18,"大園",1,"二氧化硫","SO2","ppb",202301,"1.9"
18,"大園",2,"一氧化碳","CO","ppm",202301,"0.27"
18,"大園",3,"臭氧","O3","ppb",202301,"34"
18,"大園",4,"懸浮微粒","PM10","μg/m3",202301,"32"
18,"大園",5,"氮氧化物","NOx","ppb",202301,"14.3"
18,"大園",6,"一氧化氮","NO","ppb",202301,"2.9"
18,"大園",7,"二氧化氮","NO2","ppb",202301,"11.3"
18,"大園",10,"風速","WIND_SPEED","m/sec",202301,"4.5"
18,"大園",14,"溫度","AMB_TEMP","℃",202301,"16.4"
18,"大園",33,"細懸浮微粒","PM2.5","μg/m3",202301,"15"
18,"大園",38,"相對濕度","RH","%",202301,"79"
19,"觀音",1,"二氧化硫","SO2","ppb",202301,"1.4"
19,"觀音",2,"一氧化碳","CO","ppm",202301,"0.24"
19,"觀音",3,"臭氧","O3","ppb",202301,"37.1"
19,"觀音",4,"懸浮微粒","PM10","μg/m3",202301,"37"
19,"觀音",5,"氮氧化物","NOx","ppb",202301,"9.2"
19,"觀音",6,"一氧化氮","NO","ppb",202301,"1.4"
19,"觀音",7,"二氧化氮","NO2","ppb",202301,"7.7"
19,"觀音",10,"風速","WIND_SPEED","m/sec",202301,"5"
19,"觀音",14,"溫度","AMB_TEMP","℃",202301,"16.2"
19,"觀音",33,"細懸浮微粒","PM2.5","μg/m3",202301,"17"
19,"觀音",38,"相對濕度","RH","%",202301,"84"
20,"平鎮",1,"二氧化硫","SO2","ppb",202301,"1.2"
20,"平鎮",2,"一氧化碳","CO","ppm",202301,"0.36"
20,"平鎮",3,"臭氧","O3","ppb",202301,"30.9"
20,"平鎮",4,"懸浮微粒","PM10","μg/m3",202301,"28"
20,"平鎮",5,"氮氧化物","NOx","ppb",202301,"17.3"
20,"平鎮",6,"一氧化氮","NO","ppb",202301,"2.8"
20,"平鎮",7,"二氧化氮","NO2","ppb",202301,"14.4"
20,"平鎮",10,"風速","WIND_SPEED","m/sec",202301,"2.6"
20,"平鎮",14,"溫度","AMB_TEMP","℃",202301,"16.2"
20,"平鎮",33,"細懸浮微粒","PM2.5","μg/m3",202301,"18"
20,"平鎮",38,"相對濕度","RH","%",202301,"78"
21,"龍潭",1,"二氧化硫","SO2","ppb",202301,"0.6"
21,"龍潭",2,"一氧化碳","CO","ppm",202301,"0.28"
21,"龍潭",3,"臭氧","O3","ppb",202301,"31.1"
21,"龍潭",4,"懸浮微粒","PM10","μg/m3",202301,"22"
21,"龍潭",5,"氮氧化物","NOx","ppb",202301,"12.7"
21,"龍潭",6,"一氧化氮","NO","ppb",202301,"1.8"
21,"龍潭",7,"二氧化氮","NO2","ppb",202301,"10.8"
21,"龍潭",10,"風速","WIND_SPEED","m/sec",202301,"3.2"
21,"龍潭",14,"溫度","AMB_TEMP","℃",202301,"15.6"
21,"龍潭",33,"細懸浮微粒","PM2.5","μg/m3",202301,"13"
21,"龍潭",38,"相對濕度","RH","%",202301,"84"
22,"湖口",1,"二氧化硫","SO2","ppb",202301,"1.2"
22,"湖口",2,"一氧化碳","CO","ppm",202301,"0.27"
22,"湖口",3,"臭氧","O3","ppb",202301,"34.7"
22,"湖口",4,"懸浮微粒","PM10","μg/m3",202301,"30"
22,"湖口",5,"氮氧化物","NOx","ppb",202301,"9.6"
22,"湖口",6,"一氧化氮","NO","ppb",202301,"1.4"
22,"湖口",7,"二氧化氮","NO2","ppb",202301,"8.1"
22,"湖口",10,"風速","WIND_SPEED","m/sec",202301,"3.7"
22,"湖口",14,"溫度","AMB_TEMP","℃",202301,"16.1"
22,"湖口",33,"細懸浮微粒","PM2.5","μg/m3",202301,"15"
22,"湖口",38,"相對濕度","RH","%",202301,"84"
23,"竹東",1,"二氧化硫","SO2","ppb",202301,"0.6"
23,"竹東",2,"一氧化碳","CO","ppm",202301,"0.27"
23,"竹東",3,"臭氧","O3","ppb",202301,"29.5"
23,"竹東",4,"懸浮微粒","PM10","μg/m3",202301,"22"
23,"竹東",5,"氮氧化物","NOx","ppb",202301,"9.2"
23,"竹東",6,"一氧化氮","NO","ppb",202301,"1.2"
23,"竹東",7,"二氧化氮","NO2","ppb",202301,"7.9"
23,"竹東",10,"風速","WIND_SPEED","m/sec",202301,"2"
23,"竹東",14,"溫度","AMB_TEMP","℃",202301,"16.4"
23,"竹東",33,"細懸浮微粒","PM2.5","μg/m3",202301,"13"
23,"竹東",38,"相對濕度","RH","%",202301,"78"
24,"新竹",1,"二氧化硫","SO2","ppb",202301,"0.8"
24,"新竹",2,"一氧化碳","CO","ppm",202301,"0.33"
24,"新竹",3,"臭氧","O3","ppb",202301,"31.5"
24,"新竹",4,"懸浮微粒","PM10","μg/m3",202301,"30"
24,"新竹",5,"氮氧化物","NOx","ppb",202301,"12.9"
24,"新竹",6,"一氧化氮","NO","ppb",202301,"1.7"
24,"新竹",7,"二氧化氮","NO2","ppb",202301,"11.1"
24,"新竹",10,"風速","WIND_SPEED","m/sec",202301,"2.5"
24,"新竹",14,"溫度","AMB_TEMP","℃",202301,"16.6"
24,"新竹",33,"細懸浮微粒","PM2.5","μg/m3",202301,"15"
24,"新竹",38,"相對濕度","RH","%",202301,"79"
25,"頭份",1,"二氧化硫","SO2","ppb",202301,"1.8"
25,"頭份",2,"一氧化碳","CO","ppm",202301,"0.3"
25,"頭份",3,"臭氧","O3","ppb",202301,"31.4"
25,"頭份",4,"懸浮微粒","PM10","μg/m3",202301,"30"
25,"頭份",5,"氮氧化物","NOx","ppb",202301,"12.5"
25,"頭份",6,"一氧化氮","NO","ppb",202301,"2.5"
25,"頭份",7,"二氧化氮","NO2","ppb",202301,"9.9"
25,"頭份",10,"風速","WIND_SPEED","m/sec",202301,"2.2"
25,"頭份",14,"溫度","AMB_TEMP","℃",202301,"17"
25,"頭份",33,"細懸浮微粒","PM2.5","μg/m3",202301,"15"
25,"頭份",38,"相對濕度","RH","%",202301,"83"
26,"苗栗",1,"二氧化硫","SO2","ppb",202301,"1.7"
26,"苗栗",2,"一氧化碳","CO","ppm",202301,"0.28"
26,"苗栗",3,"臭氧","O3","ppb",202301,"29.5"
26,"苗栗",4,"懸浮微粒","PM10","μg/m3",202301,"30"
26,"苗栗",5,"氮氧化物","NOx","ppb",202301,"11.7"
26,"苗栗",6,"一氧化氮","NO","ppb",202301,"2.2"
26,"苗栗",7,"二氧化氮","NO2","ppb",202301,"9.5"
26,"苗栗",10,"風速","WIND_SPEED","m/sec",202301,"2.6"
26,"苗栗",14,"溫度","AMB_TEMP","℃",202301,"16.3"
26,"苗栗",33,"細懸浮微粒","PM2.5","μg/m3",202301,"17"
26,"苗栗",38,"相對濕度","RH","%",202301,"77"
27,"三義",1,"二氧化硫","SO2","ppb",202301,"1"
27,"三義",2,"一氧化碳","CO","ppm",202301,"0.27"
27,"三義",3,"臭氧","O3","ppb",202301,"31.3"
27,"三義",4,"懸浮微粒","PM10","μg/m3",202301,"22"
27,"三義",5,"氮氧化物","NOx","ppb",202301,"6.9"
27,"三義",6,"一氧化氮","NO","ppb",202301,"1"
27,"三義",7,"二氧化氮","NO2","ppb",202301,"5.8"
27,"三義",10,"風速","WIND_SPEED","m/sec",202301,"4.1"
27,"三義",14,"溫度","AMB_TEMP","℃",202301,"14.3"
27,"三義",33,"細懸浮微粒","PM2.5","μg/m3",202301,"13"
27,"三義",38,"相對濕度","RH","%",202301,"89"
28,"豐原",1,"二氧化硫","SO2","ppb",202301,"0.9"
28,"豐原",2,"一氧化碳","CO","ppm",202301,"0.3"
28,"豐原",3,"臭氧","O3","ppb",202301,"19.7"
28,"豐原",4,"懸浮微粒","PM10","μg/m3",202301,"25"
28,"豐原",5,"氮氧化物","NOx","ppb",202301,"8.7"
28,"豐原",6,"一氧化氮","NO","ppb",202301,"1.5"
28,"豐原",7,"二氧化氮","NO2","ppb",202301,"7.1"
28,"豐原",10,"風速","WIND_SPEED","m/sec",202301,"1.8"
28,"豐原",14,"溫度","AMB_TEMP","℃",202301,"16.7"
28,"豐原",33,"細懸浮微粒","PM2.5","μg/m3",202301,"16"
28,"豐原",38,"相對濕度","RH","%",202301,"75"
29,"沙鹿",1,"二氧化硫","SO2","ppb",202301,"1.3"
29,"沙鹿",2,"一氧化碳","CO","ppm",202301,"0.3"
29,"沙鹿",3,"臭氧","O3","ppb",202301,"33.1"
29,"沙鹿",4,"懸浮微粒","PM10","μg/m3",202301,"37"
29,"沙鹿",5,"氮氧化物","NOx","ppb",202301,"10.6"
29,"沙鹿",6,"一氧化氮","NO","ppb",202301,"1.5"
29,"沙鹿",7,"二氧化氮","NO2","ppb",202301,"8.9"
29,"沙鹿",10,"風速","WIND_SPEED","m/sec",202301,"3.7"
29,"沙鹿",14,"溫度","AMB_TEMP","℃",202301,"16.8"
29,"沙鹿",33,"細懸浮微粒","PM2.5","μg/m3",202301,"17"
29,"沙鹿",38,"相對濕度","RH","%",202301,"78"
30,"大里",1,"二氧化硫","SO2","ppb",202301,"1.3"
30,"大里",2,"一氧化碳","CO","ppm",202301,"0.42"
30,"大里",3,"臭氧","O3","ppb",202301,"23.1"
30,"大里",4,"懸浮微粒","PM10","μg/m3",202301,"36"
30,"大里",5,"氮氧化物","NOx","ppb",202301,"18"
30,"大里",6,"一氧化氮","NO","ppb",202301,"3.4"
30,"大里",7,"二氧化氮","NO2","ppb",202301,"14.5"
30,"大里",10,"風速","WIND_SPEED","m/sec",202301,"1.5"
30,"大里",14,"溫度","AMB_TEMP","℃",202301,"17.7"
30,"大里",33,"細懸浮微粒","PM2.5","μg/m3",202301,"18"
30,"大里",38,"相對濕度","RH","%",202301,"71"
31,"忠明",1,"二氧化硫","SO2","ppb",202301,"1.3"
31,"忠明",2,"一氧化碳","CO","ppm",202301,"0.36"
31,"忠明",3,"臭氧","O3","ppb",202301,"28.8"
31,"忠明",4,"懸浮微粒","PM10","μg/m3",202301,"33"
31,"忠明",5,"氮氧化物","NOx","ppb",202301,"15.5"
31,"忠明",6,"一氧化氮","NO","ppb",202301,"2.7"
31,"忠明",7,"二氧化氮","NO2","ppb",202301,"12.8"
31,"忠明",10,"風速","WIND_SPEED","m/sec",202301,"1.7"
31,"忠明",14,"溫度","AMB_TEMP","℃",202301,"17.5"
31,"忠明",33,"細懸浮微粒","PM2.5","μg/m3",202301,"18"
31,"忠明",38,"相對濕度","RH","%",202301,"77"
32,"西屯",1,"二氧化硫","SO2","ppb",202301,"0.9"
32,"西屯",2,"一氧化碳","CO","ppm",202301,"0.3"
32,"西屯",3,"臭氧","O3","ppb",202301,"31.2"
32,"西屯",4,"懸浮微粒","PM10","μg/m3",202301,"36"
32,"西屯",5,"氮氧化物","NOx","ppb",202301,"13.8"
32,"西屯",6,"一氧化氮","NO","ppb",202301,"2.5"
32,"西屯",7,"二氧化氮","NO2","ppb",202301,"11.2"
32,"西屯",10,"風速","WIND_SPEED","m/sec",202301,"2.6"
32,"西屯",14,"溫度","AMB_TEMP","℃",202301,"17.9"
32,"西屯",33,"細懸浮微粒","PM2.5","μg/m3",202301,"18"
32,"西屯",38,"相對濕度","RH","%",202301,"76"
33,"彰化",1,"二氧化硫","SO2","ppb",202301,"1"
33,"彰化",2,"一氧化碳","CO","ppm",202301,"0.36"
33,"彰化",3,"臭氧","O3","ppb",202301,"29.5"
33,"彰化",4,"懸浮微粒","PM10","μg/m3",202301,"41"
33,"彰化",5,"氮氧化物","NOx","ppb",202301,"14.5"
33,"彰化",6,"一氧化氮","NO","ppb",202301,"2.4"
33,"彰化",7,"二氧化氮","NO2","ppb",202301,"12"
33,"彰化",10,"風速","WIND_SPEED","m/sec",202301,"2.1"
33,"彰化",14,"溫度","AMB_TEMP","℃",202301,"18"
33,"彰化",33,"細懸浮微粒","PM2.5","μg/m3",202301,"20"
33,"彰化",38,"相對濕度","RH","%",202301,"73"
34,"線西",1,"二氧化硫","SO2","ppb",202301,"2.2"
34,"線西",2,"一氧化碳","CO","ppm",202301,"0.34"
34,"線西",3,"臭氧","O3","ppb",202301,"31.9"
34,"線西",4,"懸浮微粒","PM10","μg/m3",202301,"43"
34,"線西",5,"氮氧化物","NOx","ppb",202301,"12.2"
34,"線西",6,"一氧化氮","NO","ppb",202301,"1.8"
34,"線西",7,"二氧化氮","NO2","ppb",202301,"10.2"
34,"線西",10,"風速","WIND_SPEED","m/sec",202301,"5.1"
34,"線西",14,"溫度","AMB_TEMP","℃",202301,"16.7"
34,"線西",33,"細懸浮微粒","PM2.5","μg/m3",202301,"20"
34,"線西",38,"相對濕度","RH","%",202301,"78"
35,"二林",1,"二氧化硫","SO2","ppb",202301,"2"
35,"二林",2,"一氧化碳","CO","ppm",202301,"0.32"
35,"二林",3,"臭氧","O3","ppb",202301,"33.8"
35,"二林",4,"懸浮微粒","PM10","μg/m3",202301,"63"
35,"二林",5,"氮氧化物","NOx","ppb",202301,"9.3"
35,"二林",6,"一氧化氮","NO","ppb",202301,"1.1"
35,"二林",7,"二氧化氮","NO2","ppb",202301,"8.1"
35,"二林",10,"風速","WIND_SPEED","m/sec",202301,"3.8"
35,"二林",14,"溫度","AMB_TEMP","℃",202301,"17.4"
35,"二林",33,"細懸浮微粒","PM2.5","μg/m3",202301,"21"
35,"二林",38,"相對濕度","RH","%",202301,"79"
36,"南投",1,"二氧化硫","SO2","ppb",202301,"1.5"
36,"南投",2,"一氧化碳","CO","ppm",202301,"0.38"
36,"南投",3,"臭氧","O3","ppb",202301,"23.6"
36,"南投",4,"懸浮微粒","PM10","μg/m3",202301,"40"
36,"南投",5,"氮氧化物","NOx","ppb",202301,"15.4"
36,"南投",6,"一氧化氮","NO","ppb",202301,"2.7"
36,"南投",7,"二氧化氮","NO2","ppb",202301,"12.6"
36,"南投",10,"風速","WIND_SPEED","m/sec",202301,"1.3"
36,"南投",14,"溫度","AMB_TEMP","℃",202301,"17.8"
36,"南投",33,"細懸浮微粒","PM2.5","μg/m3",202301,"22"
36,"南投",38,"相對濕度","RH","%",202301,"69"
37,"斗六",1,"二氧化硫","SO2","ppb",202301,"1.5"
37,"斗六",2,"一氧化碳","CO","ppm",202301,"0.35"
37,"斗六",3,"臭氧","O3","ppb",202301,"27.7"
37,"斗六",4,"懸浮微粒","PM10","μg/m3",202301,"54"
37,"斗六",5,"氮氧化物","NOx","ppb",202301,"11.9"
37,"斗六",6,"一氧化氮","NO","ppb",202301,"1.8"
37,"斗六",7,"二氧化氮","NO2","ppb",202301,"9.9"
37,"斗六",10,"風速","WIND_SPEED","m/sec",202301,"1.5"
37,"斗六",14,"溫度","AMB_TEMP","℃",202301,"17.8"
37,"斗六",33,"細懸浮微粒","PM2.5","μg/m3",202301,"28"
37,"斗六",38,"相對濕度","RH","%",202301,"75"
38,"崙背",1,"二氧化硫","SO2","ppb",202301,"1.5"
38,"崙背",2,"一氧化碳","CO","ppm",202301,"0.28"
38,"崙背",3,"臭氧","O3","ppb",202301,"31.9"
38,"崙背",4,"懸浮微粒","PM10","μg/m3",202301,"56"
38,"崙背",5,"氮氧化物","NOx","ppb",202301,"9.2"
38,"崙背",6,"一氧化氮","NO","ppb",202301,"1.2"
38,"崙背",7,"二氧化氮","NO2","ppb",202301,"7.9"
38,"崙背",10,"風速","WIND_SPEED","m/sec",202301,"1.8"
38,"崙背",14,"溫度","AMB_TEMP","℃",202301,"17.4"
38,"崙背",33,"細懸浮微粒","PM2.5","μg/m3",202301,"25"
